TITLE,COMPANY,Salary,Race,Gender,YEARS_EXPERIENCE,Location_clean,JOB_DUTIES
Associate digital line producer,NONE SPECIFIED,68000,white,male,5,San Francisco,"Writing broadcast scripts, editing video, making graphics, pitching reporter stories, fill in producing hour streaming news broadcasts, being in charge of hourly wheel for replay of 24 hour cycle"
Associate Digital Producer,NONE SPECIFIED,70000,white,male,3,New York,Produce short videos for the website
Associate Director,NONE SPECIFIED,75000,white,female,6,Los Angeles,"Write strategy, manage a team, works remotely"
Associate Director Brand Marketing,NONE SPECIFIED,90000,white,female,6,New York,Ideating / creating program proposals for potential advertisers across multiple brands
Associate Editor,NONE SPECIFIED,73000,white,male,7,Boston,"Breaking news, features"
Associate Editor,Barstool Sports,55000,mideastern,female,8,Los Angeles,"Breaking news coverage, social media posts, writing and editing articles, SEO for articles"
Associate Editor,NONE SPECIFIED,70000,asian,male,5,New York,Editing
Associate Editor,Dotdash,60000,noanswer,female,3,New York,write + edit for all sections on the site
Associate editor,Wine Spectator,60000,white,female,6,New York,Writing and editing
Associate Editor,Public school division,45000,african,noanswer,3,New York,"writing, reporting, editing, processing images, pitching stories and original content, conducting interviews, etc."
Associate Editor,WashingtonPost,46000,white,male,5,New York,Acquire and edit nonfiction books. Provide editorial and administrative support to publisher and senior editor. 25-30 titles published per year.
Associate Editor,Bustle_Digital_ Group,60000,white,male,2.5,New York,"Editing staff writers and interns, managing editorial calendar, reporting and writing posts"
Associate Editor,Future,58500,white,na,5,New York,"Editing, writing, e-commerce, social media"
Associate Editor,Bustle_Digital_ Group,58500,white,female,4,New York,"Manage team of part-time writers, edit large volume of weekly posts, feature writing"
Associate Editor,VICEMedia,60000,white,female,3,New York,"assigning and editing ~10 articles a week, writing timely blogs (culture/entertainment) and longer features, participating in editorial meetings and tentpole content brainstorming"
Associate Editor,NONE SPECIFIED,71000,white,female,5,New York,"Blog writing, create multimedia content."
Associate Editor,Meredith,65000,white,female,3,New York,Section editor for print.
Associate editor,HuffPost,45000,white,male,3,New York,"SEO, Web Production, Writing, Production Management, Audience Dev"
Associate Editor,NewYorkTimes,50000,white,female,4,New York,Writing and editing for print magazine
Associate Editor,Dotdash,60000,white,female,4,New York,
Associate Editor,NONE SPECIFIED,67000,hispanic,female,4,San Francisco,- Write daily news stories - Create multimedia - Manage 3 social media channels
Associate Editor,public radio,45000,white,female,2,San Francisco,
Associate Editor,WallStreetJournal,55000,white,male,14,"Washington, DC",Write and edit copy
Associate Editor,The Atlantic,60000,asian,male,3,"Washington, DC",
associate editor,an association,58000,poc,female,18,"Washington, DC","write stories for online newsletter, write articles for magazine, edit freelance content"
Associate Editor,Crain’s,50000,poc,female,1,"Washington, DC",
Associate Entertainment Editor,Cosmopolitan,62500,white,female,3,New York,"Pitching and executing 1-3 digital entertainment stories every day, writing 2-3 entertainment stories for print monthly, interviewing celebrities, doing a weekly Instagram live show, pitching comprehensive coverage plans around certain shows and movies, executing SEO-oriented ideas"
Associate Graphics Reporter,WallStreetJournal,70000,noanswer,noanswer,2,New York,
Associate Marketing Manager,TripAdvisor Media Company,50000,white,female,5,New York,"author care, imprint social media marketing, title specific marketing, indie bookstore marketing"
Associate Marketing Manager,WashingtonPost,49500,white,female,5,New York,
Associate Photo Editor,NONE SPECIFIED,68000,white,female,3,New York,"Assigning photographers for print and online stories, working on feature stories, portraits, and TIME covers. Shoot production for large scale projects. Website photo production for large scale projects. Photographing for magazine. Training all non photo editorial staff on photo best practices/photo research. Live event editing. Creating photo illustrations. Breaking news coverage."
Associate Photo Editor,Wirecutter_NYT,58000,white,male,3,New York,"Photograph original content, retouch, coordinate shoot schedules with writers and editors, maintain studio space, produce and style original shoots, handling rush content from editors and processing images from freelancers and writers, selecting stock/product imagery"
Associate Producer,Verizon Media,45000,white,female,3,Boston,"Produce a weekly two-part local news program from start to finish. Duties include but not limited to: Generating ideas for segments, booking, social media, managing interns, writing scripts, pulling archival tape for interviews, writing promos, filing invoices for regular contributors and writing show weekly newsletter."
Associate producer,Many,54000,white,female,5,Los Angeles,"Produce multiple segments a week, pre-interview and book guests, edit on various platforms, write scripts, pitch, post to social"
Associate Producer,NowThis,57500,noanswer,noanswer,2,New York,"editing social video, producing/shooting original content, writing scripts"
Associate Producer,"CNN (Digital, non-video)",62400,hispanic,female,4,New York,"Editing text, liaison with video teams, writing"
Associate Producer,NONE SPECIFIED,80000,white,female,4,New York,everything under the sun for audio production
Associate Producer,NONE SPECIFIED,75000,asian,female,2,New York,"Field produce interviews and b-roll shoots, cover and shoot trials, booking interviews, shoot, write, and edit social media content in tandem with on-air pieces. Assist with scripting, research, fact-checking and pre-interviewing. Work with NBC affiliate and promo teams to plan week of air coverage."
Associate Producer,NONE SPECIFIED,70000,hispanic,female,4,New York,"Lining, segment producing, creating rundowns, etc."
Associate Producer,Hearst,58500,noanswer,female,1.5,New York,"produce, edit, shoot"
Associate Producer,big company's small editorial pub,53000,asian,male,2,New York,"Script writer, shooter, editor, animator, voice over artist"
Associate Producer,Al Jazeera,53500,white,female,4,New York,"Studio Producing, Videography, Coordinating/Scheduling, Equipment management"
associate producer,NONE SPECIFIED,65000,white,female,2,New York,
Associate Producer,HarperCollins Publishers,50000,asian,male,3,New York,
Associate Producer,CNN,63000,white,female,4,New York,
Associate Producer,CBSNews,63080,poc,female,4,New York,"Producer/crash day-of-air pieces overnight (write and oversee edits, coordinate with correspondents)"
Associate Producer,CBSNews,60000,white,male,4,New York,"Live feeds, content collection, editing, etc"
Associate Producer,CBSNews,64200,white,male,15,New York,"Lots of duties - Edit and write VOSOTS, research, newsgathering, communication with affiliates and other partners"
Associate Producer,Meredith,63000,white,female,8,New York,"Produce, shoot, edit video content for web. After effects heavy."
Associate Producer,CBSNews,64000,white,female,2,New York,"Monitor breaking news, newsgathering, provide editorial judgement for all shows as well as social/web, launch crews and delegate plans for story coverage for broadcast."
Associate Producer,VICEMedia,62000,white,female,2,New York,"pitching, developing, hosting, post-producing videos"
Associate Producer,NONE SPECIFIED,70000,mixed,na,4,New York,"Pitching, reporting, and producing"
Associate Producer,WashingtonPost,50000,white,male,2,New York,Video Producing
Associate Producer,MSNBC,60000,white,male,8,New York,
Associate producer,Vox.com,50000,noanswer,na,2,San Francisco,"Managing social media accounts, producing segments on pre/postgame shows, pitching ideas for shows, fill in producing, producing local sports hits/news updates, fill in producing live shows ( for no extra salary), field producing live events, producing feature stories"
Associate Producer,Government,50000,white,male,2,San Francisco,"Produce segments for pre/postgame shows, fill in produce hour broadcast shows, manage social media accounts, produce feature stories, produce/edit news updates and local sports segments, field produce"
"Associate Producer, Podcasts",VoxMedia,58000,poc,male,2,New York,"production, marketing, and logistics for various podcasts across our network and verticals"
Associate social media editor,WallStreetJournal,50000,white,female,1,New York,"Managing social media accounts with millions of followers, distributing flow of daily articles and design content across platforms, copy editing blogs, optimizing seo and meta data, compiling and managing daily newsletter, assisting publisher and marketing department with sponsored campaigns, moderating audience across platforms, increasing audience engagement, data analytics & analysis, pitching & writing blogs, designing social visual assets, among other tasks."
Associate Video Journalist,WallStreetJournal,65000,latina,female,2,New York,"Pitch, script, shoot, and edit videos for social media and website"
Associate Video Producdre,NONE SPECIFIED,82000,black,male,4,New York,"Pitch, research, gather assets, fact check, coordinate budgets, book talent, edit and produce videos."
Associate Video Producer,Business Insider,46000,white,male,3.5,New York,"Produce, shoot, livestream, edit, post, and write copy for all videos on website"
Associate Video Producer,NewYorkTimes,53000,white,female,3,New York,"Produce breaking news videos; Pitch, report on and produce longer feature video stories"
Associate Video Producer,Reuters,53000,poc,male,3,New York,"pitch, write, shoot, edit breaking news videos"
Audience,NONE SPECIFIED,67000,poc,female,3 years,"Washington, DC","build audience, social strategy, etc."
Audience and Growth Manager,Brooklyn Eagle,65000,white,female,6,New York,
Audience development strategist,NONE SPECIFIED,67000,noanswer,noanswer,4,New York,"Fielding data requests, putting together coverage recaps, writing timely posts, working on a variety of content strategy projects"
Audience Editor,HuffPost,65000,white,female,3,New York,"scheduling Facebook/Twitter/Instagram, working on SEO and headlines, looking at stats and setting goals with newsroom teams, covering live events on social like debates/awards shows, etc."
Audience Engagement,AdvanceLocal,63300,white,female,4,New York,"Social media, community management, brand management, moderation"
Audience Engagement,New York Magazine/Vox,55000,white,female,2,New York,
Audience Engagement Editor,Science News,61400,white,male,5,"Washington, DC","Social media, web analytics, newsletter production, reader feedback management, editorial-side audience strategy"
Audience Engagement Editor,NONE SPECIFIED,68000,black,female,2,Los Angeles,Managing social media accounts
Audience Engagement Editor,Los Angeles Times,64000,latina,female,2,Los Angeles,
Audience Engagement Editor,NONE SPECIFIED,68000,asian,female,2,"Washington, DC",
Audio Producer,CondeNast,62000,white,female,5,New York,"Booking, recording, and editing one weekly podcast and two monthly podcasts."
Audio Producer,NONE SPECIFIED,92000,white,female,7,"Washington, DC",
Beat Reporter,NONE SPECIFIED,72000,hispanic,male,5,Los Angeles,Enterprise and assignment reporting for radio & web. Multiple filings weekly
Blogger,NONE SPECIFIED,175000,noanswer,male,10,New York,Blogging and podcasting
Breaking news reporter,New York Daily News,60000,white,female,4,New York,"Breaking news, crime, politics, features"
Bureau Chief,A B2B trade publication,58000,white,female,12,Los Angeles,Run entire west coast bureau
Columnist,ABCNews,37500,black,female,9,Boston,Daily column
Commerce editor,NONE SPECIFIED,70000,white,female,4,New York,Section head overseeing all commerce content creation
Commerce Editor,NONE SPECIFIED,75000,white,male,"5+ years writing/editing experience
1.5 years FT",New York,"Manage and hire team members, write articles, edit content submitted by freelance writers"
Commerce Writer,GQ,62000,noanswer,noanswer,3 years FT,New York,Just writing now
Communications & Marketing Manager,NONE SPECIFIED,64000,black,female,5,New York,"Social media management, campaign management... social content creation/ pull analytics/ lead and execute social campaigns.. produce video content for social... support events.  + Overall management of communications - brand voice, emails, copy etc.."
Communications Specialist,NONE SPECIFIED,75000,noanswer,female,2,New York,
Community reporter,Red Bull Media House,36000,poc,male,6,Los Angeles,Deal with multiple agencies as part of beat that can range from long term work to breaking news. Expected to file four to six stories in a given week.
Congressional Reporter,NONE SPECIFIED,80000,white,male,5,"Washington, DC",Cover Congress with specific policy focus
Content Director,NONE SPECIFIED,100000,white,female,15,Los Angeles,"manage four EICs, work on audience development, etc."
Content marketing manager,NONE SPECIFIED,120000,white,female,8,Boston,"Manage a team, content strategy, freelancer management, writing, editing"
Content Partnerships Coordinator,"Forbes Media, LLC.",60000,african,female,2,New York,
"Content Producer, Writer & Coordinator",NONE SPECIFIED,69000,poc,female,7,New York,"Content strategy, content coordination, writing, content production"
Content Strategy Manager,Hearst Digital Media,65000,white,female,3,New York,"Manage all social platforms including FB, Instagram, YouTube, TikTok, Twitter"
Coordinating Producer,NONE SPECIFIED,100000,noanswer,na,8,New York,
Coordinator,VoxMedia,54000,white,female,3,New York,
Correspondent,NONE SPECIFIED,140000,white,female,25,"Washington, DC",
Creative Project Manager,NONE SPECIFIED,81000,african,female,5,New York,
Culture Writer,NONE SPECIFIED,70000,white,female,4,New York,"covering books, tv, pop culture news, etc, 2-3 news stories daily plus several longer features weekly"
Data journalist,NONE SPECIFIED,100800,mixed,male,8,Chicago,"Data analysis, web development, R&D"
Data journalist,NONE SPECIFIED,103000,noanswer,male,5,"Washington, DC","Analyze data, write stories for npr.org, create data visualiziations"
Data reporter,NONE SPECIFIED,90000,asian,male,2.5,New York,"Data analysis, cleaning, reporting and writing for investigations"
Data Reporter,NONE SPECIFIED,125000,poc,male,7,"Washington, DC","data analysis, graphics, reporting, writing"
Deputy Editor,Americas_Test_Kitchen,62000,white,female,6,Boston,
Deputy Editor,NONE SPECIFIED,95000,white,male,10,New York,"Basically keeping everything running behind the scenes, editing both features and short posts, working with freelancers, maintaining budgets, coordinating video"
Deputy Editor,NONE SPECIFIED,160000,black,male,20,New York,"Edit stories, assign stories, managerial and personnel duties"
Deputy editor,NONE SPECIFIED,90000,black,male,10,New York,Literally everything.
Deputy Editor,NONE SPECIFIED,85000,white,male,5,New York,"Pitching, writing, and editing for digital; content strategy and audience development; print-to-digital integration"
Deputy editor,NONE SPECIFIED,102000,white,female,6,New York,"top-editing, managing team, assigning"
Deputy Editor (Department),NONE SPECIFIED,130000,white,male,18,New York,Coordinate content among departments
Deputy Editor (Major Section),NONE SPECIFIED,145000,noanswer,female,"15 years, 3 freelance",New York,
Deputy editorial director,NONE SPECIFIED,150000,white,female,,New York,
Deputy National Editor,NONE SPECIFIED,175000,white,female,15,New York,
Deputy news editor,NONE SPECIFIED,90000,noanswer,male,15,New York,"supervise 5 reporters, edit copy"
Deputy Off-Platform Editor,NewYorkTimes,180000,poc,female,3,New York,Lead the team handling coverage and distribution of our journalism across platforms
Designer,Bustle_Digital_ Group,62000,white,female,3,New York,
Designer,Hearst,58000,noanswer,male,,New York,
Designer,NONE SPECIFIED,80000,white,female,7,"Washington, DC","animation, digital layout and design, illustration"
Designer,NONE SPECIFIED,80000,white,na,7,"Washington, DC","animation, layout/design, illustration"
Designer/editor,Politico,51000,white,female,9,Chicago,Designing and editing for print
Desk assistant,WallStreetJournal,50000,white,male,7,New York,
Desk Editor,NONE SPECIFIED,80000,white,male,8,New York,"Manage 1 writer, write/edit/oversee 24 posts per week + edit/manage 1/3rd of quarterly magazine"
Desk Editor,PBS NewsHour,60000,asian,male,15,"Washington, DC","managing desk, breaking news, ingest, field crews, production operations, etc"
Digital and Social Media Producer/Editor,NONE SPECIFIED,77000,noanswer,female,10,New York,"Research, pitch, produce, and edit companion social-first videos for a television network."
Digital Designer,CondeNast,60000,asian,female,2,New York,"Web design, animation, marketing design for Condé Nast's brands' digital fronts"
Digital Editor,NONE SPECIFIED,77500,white,female,6,New York,"editing, managing freelancers, some administrative duties, occasional writing"
Digital editor,amNewYork,56000,white,female,8,New York,"Report, write, edit, run website, schedule all social, posts and curate and send the daily newsletter"
Digital Editor,NONE SPECIFIED,85000,mixed,male,5,New York,"Run website, manage social posting, responsible for growth"
Digital Editor,NONE SPECIFIED,75000,white,female,7,New York,Write and edit news and beauty features
Digital Editor,Hearst,65000,white,female,5,New York,"Write, edit and publish stories on fashion and beauty, style photo shoots"
Digital Investment Specialist,Canvas Worldwide,62000,noanswer,female,2,Los Angeles,
digital journalist/editor,NONE SPECIFIED,95000,white,male,10,Los Angeles,"Write enterprise stories, copy edit myself, assign out to freelancers, post to social media"
Digital Line Producer,NONE SPECIFIED,85000,white,male,5,San Francisco,"Stacking live hour streaming news show, writing scripts, editing video, leading associate producers, directors and talent, boothing live show, coordinating live updates and breaking news"
Digital Manager Editor,NONE SPECIFIED,70000,white,male,7,New York,Responsible for all things digital (web + social)
Digital managing editor,NONE SPECIFIED,72000,white,male,9,New York,overseeing digital and social teams
Digital Media Manager,NONE SPECIFIED,58000,white,female,2,"Washington, DC","Manage small advertising team under director of advertising, work with clients/account teams, write reports, set up client dashbords, and sometimes book TV, print and radio buys. A little bit of everything."
Digital Multimedia Journalist,NBC Owned Television Stations Group,65000,asian,female,4,New York,"Writing breaking news, stories, social posts, posting wires, managing website, editing photos/videos, producing digital videos"
Digital Photo Editor,NONE SPECIFIED,70000,white,female,5,New York,
Digital Producer,NONE SPECIFIED,74000,hispanic,female,4,New York,"Develop, shoot, and post produce content for VICE’s Video Player and YouTube Channel."
Digital Producer,Meredith,58500,white,female,2 (including cumulative college experience),New York,"Pitching news platforms, debugging site, editorial assistant type duties, aggregation writing, light social strategy, syndication editing, designing special projects, occasional reporting/transcribing/fact checking, admin for WordPress, Slack, Airtable, etc."
Digital Producer,The Associated Press,50000,black,female,2.5,New York,website content
Digital Producer,National Geographic,57000,white,female,3,"Washington, DC","Build, photo edit, and headline daily digital stories. Occasionally write and research."
Digital Producer,NPR affiliate in D.C.,65000,asian,female,1,"Washington, DC","audience engagement, social media posting, website wrangling, occasional on-air production, other duties as assigned."
Digital Producer,LA Times,50000,white,female,1.5,"Washington, DC","Copy editing content, formatting articles for the website, arting stories, tracking stats, occasional writing tasks, other misc. jobs"
Digital Producer,NONE SPECIFIED,79000,asian,male,5,"Washington, DC",
Digital Writer,ProPublica,45000,white,female,4,New York,
Director,NONE SPECIFIED,95000,white,female,15,New York,"writing and editing for print and digital, strategy, assigning, managing, overseeing budget, etc."
Director,NONE SPECIFIED,70000,mixed,male,5,"Washington, DC","Writing, editing, strategy, and direction"
Director (Major Section),NONE SPECIFIED,145000,white,female,20,New York,Manage several editors; write and edit articles (20+ pages a month + 25+ digital stories/month); work on marketing programs & branded content for sales side
Director of audience development,NONE SPECIFIED,130000,white,female,8,New York,
Director of Content,Seamans Media,60000,white,male,3,Boston,"Run the print and digital efforts of one of Seamans Media's six titles. The magazine is printed seven times a year, while the website requires between three and five stories a day. Other aspects of the job are social media, newsletters, editing, writing and website management."
Director of Social Media,NONE SPECIFIED,95000,poc,female,7,New York,"Manage team of 4 and all social platforms, on call 24/7 for breaking news, social/search/aud dev strategy, work with all teams across company including sales and product, style guides and trainings for newsroom, meetings/crisis management/handholding, pitching/writing/editing"
Ecommerce Writer,Meredith Corporation,58500,white,female,4,New York,
Editor,WallStreetJournal,50500,white,female,2+,Boston,"Editing features and reviews, assigning articles, content planning, writing, testing"
Editor,Newsy,63000,poc,female,15,Chicago,copyediting
Editor,TheSkimm,34000,white,male,4,Chicago,"Wrote and edited local entertainment features, columns and hundreds of concert previews for The Onion's weekly print edition and daily A.V. Club website, building a distinct local voice and audience for a national media outlet.
Led editorial expansion from a weekly print section to a daily local arts website.
Managed Twitter and Facebook accounts and weekly email newsletters.
Worked with freelance writers, photographers, an assistant editor, and interns to meet daily and weekly story deadlines and maintain an online events calendar."
Editor,NONE SPECIFIED,105000,white,male,4,"Washington, DC",audio side
Editor,NONE SPECIFIED,115000,white,female,12,Los Angeles,
Editor,GOOD / Upworthy,65000,noanswer,female,6,Los Angeles,"Edit and write for three digital websites, manage a team of freelancers, oversee all branded editorial content and branded social content, produce e-commerce articles"
Editor,NONE SPECIFIED,118000,noanswer,noanswer,22,New York,Editing/Writing
Editor,NONE SPECIFIED,70000,white,male,10,New York,
Editor,Bustle_Digital_ Group,61000,white,female,3,New York,Manage writers and vertical content
Editor,NONE SPECIFIED,120000,white,male,8,New York,Writing/Editing/Production
Editor,NONE SPECIFIED,75000,white,female,7,New York,"Manage and edit four writers, spearhead development of a vertical"
Editor,NONE SPECIFIED,70000,white,female,6,New York,Acquiring and editing books.
Editor,NONE SPECIFIED,80000,white,male,10+ years of writing/editing,New York,"Managing freelancers, assignments, and editing copy"
Editor,NONE SPECIFIED,80000,poc,male,7+ years of writing/editing,New York,"Managing freelancers, assignments, and editing copy"
Editor,NONE SPECIFIED,31000,noanswer,noanswer,2,New York,
Editor,NONE SPECIFIED,69000,white,female,6,New York,
Editor,NONE SPECIFIED,96000,white,female,7,New York,
Editor,NONE SPECIFIED,104000,white,female,10,San Francisco,"Editing, producing, reporting, project management, on-air"
Editor,NONE SPECIFIED,71000,white,female,3,"Washington, DC",
Editor,Universal McCann,43000,white,female,2,"Washington, DC","Assign, edit and produce stories; contribute content; all social media duties"
Editor / Animator,NONE SPECIFIED,105000,white,male,8,"Washington, DC","Editor, Motion GFX, Graphic Design, Finishing"
Editor and reporter,NONE SPECIFIED,100000,white,male,45,San Francisco,"Reporting, writing, editing and producing digital and broadcast news and features, with many associated tasks."
Editor at Large,BuzzFeed News,50000,noanswer,male,20,New York,Covering an array of complex topics that require a considerable amount of expertise and savoir faire. The job is about three-quarter time all told.
Editor I,NONE SPECIFIED,100000,white,female,15,"Washington, DC",
Editor in Chief,The Intercept,368249,white,female,30,New York,Go to meetings
Editor in Chief,NONE SPECIFIED,150000,white,female,15,New York,Lead editorial team and content strategy; partner with sales team to develop sponsored content programs
Editor in Chief,digital media company,200000,mixed,female,22,New York,Oversee an online publication with a staff of six
Editor in Chief,NONE SPECIFIED,70000,white,male,8,San Francisco,"Reporting, Editing all stories, Assigning almost all stories, helping with social media, running website, coordinate/manage freelancers, manage freelance budget"
Editor-at-large,NONE SPECIFIED,120000,white,female,,New York,
Editor-in-chief,NONE SPECIFIED,150000,white,male,14,New York,
"Editor, Staff Writer",NONE SPECIFIED,68000,white,female,7,New York,
Editor/Designer,OZY,53000,white,female,30,Chicago,"Source edit, copy edit, page design for print publications across Tribune Publishing"
Editor/reporter,NONE SPECIFIED,126000,white,male,20,New York,"Report, write, edit, train. Not supervising anyone directly."
Editorial / Executive Assistant,National news site,45000,white,female,3,New York,"everything from managing EIC's calendar and email, acting as central admin for 50+ employees, schedule and coordinate all internal and external meetings for editorial team, booking all travel for editorial team, posts jobs resume reading phone interviewing and scheduling, research projects, transcribing and proofing, etc etc etc etc etc etc etc etc etc etc etc etc"
Editorial Assistant,Finishing House,50000,mideastern,female,3,New York,"Edited and assigned articles; manages article workflow; wrote event picks, news briefs, reviews, etc; prepared and edited email newsletters; managed and maintained Hyperallergic’s Twitter and Instagram; vetted article submissions via Submittable; maintain professional correspondence with publisher, editors, writers, etc.; kept track of article deadlines and calendar; put together monthly and seasonal art guides"
Editorial assistant,WallStreetJournal,41000,white,female,4,New York,Basically a glorified administrative assistant slash editor
Editorial Assistant,NONE SPECIFIED,68000,white,female,2,New York,"fact checking, schedule maintaining, administrative duties"
Editorial Assistant,Nonprofit news outlet,62000,asian,na,1,New York,
Editorial Assistant,NBC_News,35999,black,na,1.5,New York,
Editorial Assistant,NONE SPECIFIED,37000,white,na,1,New York,Reading 500+ pages of manuscript submissions a week. Writing jacket copy. Mailings. Compiling image and text permissions. Managing multiple interns. Communicating with authors and agents about payments. Meeting with authors and agents to acquire new projects.
Editorial Assistant,Hearst,35000,noanswer,female,1,New York,"Sending projects out for peer review, creating contracts, managing projects from review to publication, managing authors, etc."
Editorial Assistant,Bloomberg,50700,white,female,2,New York,"edit daily column, 1-2 news stories/day, 1-2 longer stories/month"
Editorial Assistant,CondeNast,35000,white,female,2,New York,Assistant to the editor in chief (+ other administrative duties); write 3-4 print articles per month and about 2-3 digital articles per month.
Editorial Assistant,Slate,57000,black,female,2 years FT,New York,"feature writing + reporting, ocassional daily blogging, admin work, podcast hosting"
Editorial Assistant,NYT,35000,white,female,"0-1, entry level",New York,"writing, transcribing, some editing, fact checking"
Editorial Assistant,WashingtonPost,40800,white,female,3,New York,
